"ID","Title","Content","Excerpt","Slug","Status","Parent","Order","Author","Date","Allow Comments","Allow Pingbacks","Categories","Tags","Section","Role Category"
"","Use Event Details for Maps, Commute, Tickets, and Calendar Export","<h1>Use Event Details for Maps, Commute, Tickets, and Calendar Export</h1>
<p>Event Detail combines route tools, ticket links, and calendar export into one practical flow.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/calendar/events/{eventId}.</li>
<li>Confirm time and venue are present.</li>
<li>Set a useful commute origin.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Review event quick info and weather.</li>
<li>Open maps or rideshare links.</li>
<li>Save commute start location.</li>
<li>Use Google, Apple, or ICS export.</li>
<li>Use Get Tickets when ticket link exists.</li>
<li>Bookmark event for fast return.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Ticket action appears only for linked ticketed events.</li>
<li>Commute summary needs origin and destination.</li>
<li>Calendar export needs valid date-time values.</li>
<li>Some actions are hidden for old events.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Detail route is parent and athlete accessible.</li>
<li>Edit/delete actions are elevated-role only.</li>
<li>Bookmark state follows user fan context.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No route summary: verify both addresses.</li>
<li>No ticket action: event may be free or unavailable.</li>
<li>Calendar export issue: verify event time data.</li>
<li>Bookmark missing: refresh bookmarks list.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Directions and arrival plan are confirmed.</li>
<li>Event is on your personal calendar.</li>
<li>Ticket access plan is set before arrival.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Turn one event page into your full game day command center.","use-event-details-for-maps-commute-tickets-and-calendar-export","publish","","11","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Events and Calendar","events,maps,commute,tickets,calendar-export,bookmarks","Events and Calendar","Guardians"
"","Build a Better Fan Feed with Follows and Bookmarks","<h1>Build a Better Fan Feed with Follows and Bookmarks</h1>
<p>Follows and bookmarks are the two controls that make fan activity high signal instead of noisy.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Use /portal/follows for organization follows.</li>
<li>Use /portal/bookmarks for saved events.</li>
<li>Check results in calendar Fan View.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Follow organizations you care about.</li>
<li>Bookmark key events as they appear.</li>
<li>Unfollow organizations no longer relevant.</li>
<li>Remove stale bookmarks.</li>
<li>Open Fan View and confirm feed quality.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Follows are org-level, bookmarks are event-level.</li>
<li>Fan View aggregates multiple fan sources.</li>
<li>Unfollow updates future feed composition.</li>
<li>Bookmark mutations refresh list queries.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Follows page is parent-only.</li>
<li>Bookmarks page is parent and athlete.</li>
<li>Fan View toggle exists in calendar for both roles.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Fan feed empty: add follows or bookmarks.</li>
<li>Unfollow failed: retry from confirm modal.</li>
<li>Bookmark removal delayed: refresh once.</li>
<li>Missing event: ensure it is upcoming and visible.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Fan View includes the events you care about.</li>
<li>Saved list stays curated and current.</li>
<li>You can reach event detail quickly.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Use follows and bookmarks to shape the fan events you see.","build-a-better-fan-feed-with-follows-and-bookmarks","publish","","12","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Events and Calendar","follows,bookmarks,fan-view,events,organizations,calendar","Events and Calendar","Guardians"
"","Buy Tickets and Choose Seats Without Checkout Failures","<h1>Buy Tickets and Choose Seats Without Checkout Failures</h1>
<p>Ticket checkout is fast, but it validates sales windows, inventory, email, and seating rules.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/tickets/events/{eventId}.</li>
<li>Confirm event is currently on sale.</li>
<li>Use valid purchaser email.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Select quantity for each ticket type.</li>
<li>Select seats for reserved ticket types.</li>
<li>Review total and sale status.</li>
<li>Enter purchaser email.</li>
<li>Submit checkout and complete payment.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Event must be published and not ended.</li>
<li>Sales windows can block checkout.</li>
<li>Capacity remaining limits quantity.</li>
<li>Reserved seating needs full and valid seat selections.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Ticket purchase pages are public.</li>
<li>Checkout still enforces event policy checks.</li>
<li>Offline device state blocks checkout start.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Sold out during selection: adjust cart and retry.</li>
<li>Email invalid: correct format.</li>
<li>Seat validation error: reselect valid seats.</li>
<li>Sales closed: return during active window.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Checkout starts without validation errors.</li>
<li>Order success page confirms purchase.</li>
<li>Ticket delivery email is received.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Choose ticket quantities and seats correctly before checkout.","buy-tickets-and-choose-seats-without-checkout-failures","publish","","13","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Tickets and Entry","tickets,checkout,reserved-seating,seats,events,payments","Tickets and Entry","Guardians"
"","Find, Resend, and Manage Tickets After Purchase","<h1>Find, Resend, and Manage Tickets After Purchase</h1>
<p>Post-purchase ticket operations are about retrieval speed and reliable delivery recovery.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/account/tickets while signed in.</li>
<li>Identify event and order you need.</li>
<li>Use order success page for immediate confirmation.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Find event group in My Tickets.</li>
<li>Move through ticket carousel and verify QR display.</li>
<li>Use Email Tickets resend action.</li>
<li>Use order success Resend Email when needed.</li>
<li>Use print action for offline backup.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Tickets are grouped by event across orders.</li>
<li>Resend targets each unique order-email pair.</li>
<li>QR display depends on valid ticket records.</li>
<li>Wallet actions are placeholders in current app state.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>My Tickets route is protected for parent and athlete.</li>
<li>Order success route is available after checkout redirect.</li>
<li>Resend requires valid order ID and email.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No tickets visible: verify paid order state.</li>
<li>Resend failed: verify email and retry once.</li>
<li>Multiple orders: resend handles each order.</li>
<li>Need manual fallback: use /portal/tickets/resend.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>All relevant tickets are visible and scannable.</li>
<li>Resend confirms successful delivery.</li>
<li>Gate entry can proceed without delay.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Use My Tickets to view QR codes and resend ticket emails.","find-resend-and-manage-tickets-after-purchase","publish","","14","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Tickets and Entry","tickets,my-tickets,resend,email,orders,qr","Tickets and Entry","Guardians"
"","Use Secure Ticket Access Links at the Gate","<h1>Use Secure Ticket Access Links at the Gate</h1>
<p>Ticket access links are optimized for gate speed with a QR token and entry code backup.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open full token URL exactly as delivered.</li>
<li>Increase brightness before scan.</li>
<li>Keep phone charged and unlocked.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open /portal/tickets/access?t=...</li>
<li>Wait for ticket and QR load.</li>
<li>Present QR to scanner.</li>
<li>If needed, provide manual entry code.</li>
<li>Keep page active through gate entry.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Token must be valid and unexpired.</li>
<li>Wake lock may be requested for screen stability.</li>
<li>Entry code maps to specific ticket.</li>
<li>Event data is loaded from token payload.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>No full portal login needed with valid token.</li>
<li>Invalid token shows explicit error state.</li>
<li>Access scope is limited to token-linked ticket data.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Expired link: request fresh access link.</li>
<li>Missing token: reopen exact URL.</li>
<li>Weak signal: preload before arrival.</li>
<li>Scan failure: switch to entry code immediately.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>QR or entry code works at gate.</li>
<li>You enter without reauthentication.</li>
<li>Ticket metadata matches event and type.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Open secure access links and use entry code fallback if needed.","use-secure-ticket-access-links-at-the-gate","publish","","15","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Tickets and Entry","tickets,access-links,qr,entry-code,gate,mobile","Tickets and Entry","Guardians"
"","Register for Tryouts and Track Every Status Change","<h1>Register for Tryouts and Track Every Status Change</h1>
<p>Tryout workflows are high stakes, so YouthSports keeps registration and progress tracking in one place.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/tryouts.</li>
<li>Verify athlete profile exists.</li>
<li>Review date, age group, and location.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Select Register Now.</li>
<li>Choose athlete in modal and confirm.</li>
<li>Track status in My Tryout Progress.</li>
<li>If offered, choose Accept Spot or Decline.</li>
<li>Use registration contact for questions.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Registration requires selected tryout and athlete.</li>
<li>Status set includes registered, offered, accepted, declined.</li>
<li>Offer action appears only on offered status.</li>
<li>Support contact comes from registration contact category.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route requires parent or athlete and tryouts entitlement.</li>
<li>Athlete selector only shows your visible athletes.</li>
<li>Some transitions vary in demo mode.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Already registered: duplicate blocked.</li>
<li>No athletes: create profile first.</li>
<li>Registration error: retry after connection check.</li>
<li>No offer action: refresh and verify current status.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Registration is visible in progress list.</li>
<li>Status changes are easy to track.</li>
<li>Final outcome is clearly recorded.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Register athletes for tryouts and follow status from signup to decision.","register-for-tryouts-and-track-every-status-change","publish","","16","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Team Operations","tryouts,registration,athletes,status,offers,families","Team Operations","Guardians"
"","Submit Uniform Orders by Athlete and Avoid Deadline Lockouts","<h1>Submit Uniform Orders by Athlete and Avoid Deadline Lockouts</h1>
<p>Uniform workflows succeed when required sizes are complete before deadlines and lock states change.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/uniforms and review active kits.</li>
<li>Check each kit deadline and status.</li>
<li>Prepare sizing details for required items.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open View and Order on kit.</li>
<li>Select required item sizes per athlete.</li>
<li>Submit order per athlete.</li>
<li>Use Update Order only while editable.</li>
<li>Use contact card for uniform support issues.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Required items must be selected to submit.</li>
<li>Kit can lock by deadline or lock flag.</li>
<li>Some statuses become immutable.</li>
<li>Size options come from configured kit item data.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route requires parent or athlete and uniform entitlement.</li>
<li>Only your visible athletes are orderable.</li>
<li>Editability depends on kit status and policy.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Missing required size: complete all required fields.</li>
<li>Deadline passed: submissions closed.</li>
<li>Kit locked: edits blocked.</li>
<li>No athletes visible: add athlete profile first.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Each athlete has valid submission.</li>
<li>No required items are missing.</li>
<li>Order status reflects submitted or updated state.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Complete required uniform sizes before kit deadlines lock orders.","submit-uniform-orders-by-athlete-and-avoid-deadline-lockouts","publish","","17","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Team Operations","uniforms,orders,sizes,deadlines,athletes,guardians","Team Operations","Guardians"
"","Run Travel Day from One Travel Detail Page","<h1>Run Travel Day from One Travel Detail Page</h1>
<p>Travel Detail centralizes the actions families need on high-pressure travel days.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/travel and select target plan.</li>
<li>Set commute start location.</li>
<li>Review meeting and schedule details early.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Open plan detail from travel list.</li>
<li>Use map links and copy actions for addresses.</li>
<li>Save route origin for commute context.</li>
<li>Review schedule and add events to calendar.</li>
<li>Use contact panel for support channels.</li>
<li>Check lodging details and confirmation references.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Plan status can be upcoming, active, complete, canceled.</li>
<li>Meeting and lodging data must be configured on plan.</li>
<li>Contacts resolve custom first, org fallback second.</li>
<li>Calendar export requires valid event date-time fields.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Travel routes require parent or athlete and travel entitlements.</li>
<li>Visible plans are scoped to your team context.</li>
<li>Contact fallback depends on org contact setup.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No route summary: verify origin and destination.</li>
<li>Missing contacts: fallback may be sparse.</li>
<li>Copy failed: check clipboard permission.</li>
<li>Canceled plan: follow status badge guidance.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Family has confirmed route and meeting plan.</li>
<li>Key travel events are in calendar.</li>
<li>Support contacts are easy to reach.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Use travel detail for directions, meetings, lodging, and contacts.","run-travel-day-from-one-travel-detail-page","publish","","18","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Team Operations","travel,logistics,directions,meetings,lodging,contacts","Team Operations","Guardians"
"","Use Huddles for Announcements and Team Chat","<h1>Use Huddles for Announcements and Team Chat</h1>
<p>Huddles unifies official announcements and live team chat so communication stays coherent.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/huddles/announcements or /portal/huddles/chat.</li>
<li>Select correct team context.</li>
<li>Verify connection before expecting live updates.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Review team announcements in announcement tab.</li>
<li>Open announcement detail for full context.</li>
<li>Switch to chat tab and choose channel.</li>
<li>Send messages and follow replies.</li>
<li>Return to announcements for official updates.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Announcements can be team-specific or org-wide.</li>
<li>Chat requires stream connection and channels.</li>
<li>Channel visibility depends on team membership.</li>
<li>Announcement creation is role-restricted.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Route requires parent or athlete and messaging entitlement.</li>
<li>Guardian users consume chat and announcements.</li>
<li>Create announcement controls are coach/admin only.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>No teams: messaging surfaces remain empty.</li>
<li>Chat not connecting: refresh and retry.</li>
<li>No announcements: confirm selected team.</li>
<li>Cannot create announcement: expected for guardian role.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>You can read current announcements.</li>
<li>Chat channels connect and send reliably.</li>
<li>No unresolved connection errors remain.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Read announcements and use chat channels in one Huddles workspace.","use-huddles-for-announcements-and-team-chat","publish","","19","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Team Operations","huddles,messages,announcements,chat,teams,communication","Team Operations","Guardians"
"","Keep Account Settings Current for Family Logistics","<h1>Keep Account Settings Current for Family Logistics</h1>
<p>Account settings drive travel planning, message delivery, and sign-in security more than most users expect.</p>
<p>This article is written for real YouthSports workflows, not generic software steps.</p>

<h2>Before you start</h2>
<ul>
<li>Open /portal/settings.</li>
<li>Review address, notifications, email, and password state.</li>
<li>Plan to complete modal confirmations fully.</li>
</ul>

<h2>Step-by-step workflow</h2>
<ol>
<li>Set or clear home address and save.</li>
<li>Tune notification groups, channels, digest, and quiet hours.</li>
<li>Change email and complete both confirmation links.</li>
<li>Change password with matching valid values.</li>
<li>Set language and theme preferences.</li>
</ol>

<h2>What controls this workflow</h2>
<ul>
<li>Home address writes to profile location fields.</li>
<li>Notification preferences persist by org and role.</li>
<li>Email change requires dual confirmation path.</li>
<li>Password change enforces match and minimum length.</li>
</ul>

<h2>Access and visibility rules</h2>
<ul>
<li>Settings route is parent and athlete accessible.</li>
<li>Family guardian management controls are parent-focused.</li>
<li>Notification groups shown depend on active role context.</li>
</ul>

<h2>Common edge cases and fast fixes</h2>
<ul>
<li>Email rate limit: wait then retry.</li>
<li>Address save failed: use valid autocomplete selection.</li>
<li>Password mismatch: reenter both fields.</li>
<li>Notification save lag: wait for save state before exit.</li>
</ul>

<h2>You are done when</h2>
<ul>
<li>Address, notifications, and credentials are current.</li>
<li>Family settings reflect real guardian access.</li>
<li>No active settings errors remain.</li>
</ul>

<p>YouthSports is designed to keep family logistics clear, fast, and reliable across the season.</p>","Update core settings so alerts, travel, and access stay reliable.","keep-account-settings-current-for-family-logistics","publish","","20","admin","2026-02-19 08:10:00","closed","closed","Help, Guardians, Account and Preferences","settings,home-address,notifications,email,password,language,theme","Account and Preferences","Guardians"
